Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000082,000000D0,FALSE,Rx,0,6,8,E5,20,38,5,F0,0,0
1000083,000003D0,FALSE,Rx,0,6,0,0,8,0,C8,7F,0,0
1000084,50,FALSE,Rx,0,4,0,B0,74,C4,0,0,0,0
1000085,000005C0,FALSE,Rx,0,8,0,0,0,A6,21,0,0,87
1000086,440,FALSE,Rx,0,8,30,58,15,FE,80,0,B4,5
1000087,000000AE,FALSE,Rx,0,8,7B,78,0,0,0,0,3,0
1000088,000001A0,FALSE,Rx,0,8,0,40,64,55,FE,FE,0,17
1000089,000002A0,FALSE,Rx,0,8,0,0,0,64,0,0,70,14
1000090,320,FALSE,Rx,0,8,20,10,24,6D,55,8F,55,81
1000091,000004A0,FALSE,Rx,0,8,46,55,82,55,20,55,20,55
1000092,0000038A,FALSE,Rx,0,4,18,80,B8,20,0,0,0,0
1000093,280,FALSE,Rx,0,8,0,5C,54,1E,5B,55,11,5B
1000094,284,FALSE,Rx,0,6,8,8,0,0,0,0,0,0
1000095,288,FALSE,Rx,0,8,8A,BF,78,0,0,50,B6,13
1000096,380,FALSE,Rx,0,8,0,73,0,C8,0,0,0,31
1000097,480,FALSE,Rx,0,8,84,0,81,8F,1D,8,6,99
1000098,488,FALSE,Rx,0,8,38,5B,5B,7E,A6,FF,FF,E0
1000099,0000048A,FALSE,Rx,0,8,FE,7E,2,2,0,0,0,80
1000100,588,FALSE,Rx,0,8,E9,38,7E,1,31,80,4,98
1000101,390,FALSE,Rx,0,8,3,0,50,0,40,0,0,0
1000102,392,FALSE,Rx,0,8,8,0,7,21,0,0C,38,0
1000103,570,FALSE,Rx,0,5,47,20,AD,0,0,0,0,0
1000104,000005D0,FALSE,Rx,0,8,C0,4,61,0F,39,59,C0,0
1000105,540,FALSE,Rx,0,8,60,0,FF,0,FF,0,2,0F
1000106,000000C2,FALSE,Rx,0,8,22,80,44,80,80,90,C6,9
1000107,000000D0,FALSE,Rx,0,6,1A,F6,21,38,5,F0,0,0
1000108,000003D4,FALSE,Rx,0,8,11,83,12,80,8,0,0,0
