Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18445088912536093735,0000048A,false,Rx,0,8,A0,23,01,02,00,00,00,80,
18445088912536093969,000004A0,false,Rx,0,8,58,0A,58,0A,66,0A,3C,0A,
18445088912536094201,00000588,false,Rx,0,8,E1,78,80,86,14,80,04,95,
18445088912536094435,00000368,false,Rx,0,8,41,13,89,83,05,07,5A,00,
18445088912536094669,00000320,false,Rx,0,8,20,40,12,57,0A,46,0A,81,
18445088912536094914,000004A8,false,Rx,0,8,18,00,07,80,00,20,80,3F,
18445088912536095222,000005A0,false,Rx,0,8,7D,0A,07,80,00,7C,1B,AB,
18445088912536095522,000005B7,false,Rx,0,8,D4,D4,00,00,00,00,00,00,
18445088912536095946,00000572,false,Rx,0,1,07,00,00,00,00,00,00,00,
18445088912536097062,00000440,false,Rx,0,8,20,52,50,FE,78,00,5C,02,
18445088912536097304,00000540,false,Rx,0,8,B0,00,FF,00,FF,00,02,56,
18445088912536097547,00000397,false,Rx,0,8,02,0A,08,00,00,00,00,00,
18445088912536097795,0000048C,false,Rx,0,8,04,03,07,00,00,00,00,00,
18445088912536098072,0000038A,false,Rx,0,4,B8,80,18,20,00,00,00,00,
18445088912536099766,000003D4,false,Rx,0,8,41,83,42,80,08,00,00,00,
18445088912536100367,00000280,false,Rx,0,8,01,18,2C,0D,1A,00,1B,1A,
18445088912536100614,000000AE,false,Rx,0,8,2B,28,00,00,00,00,03,00,
18445088912536100859,00000380,false,Rx,0,8,00,94,00,B9,00,00,00,06,
18445088912536101099,000001A0,false,Rx,0,8,00,40,5E,0A,FE,FE,00,12,
18445088912536101335,00000488,false,Rx,0,8,ED,1A,18,80,9E,FF,1F,11,
18445088912536101578,000002A0,false,Rx,0,8,00,00,00,64,00,00,20,44,
18445088912536101866,000004A0,false,Rx,0,8,66,0A,56,0A,76,0A,3C,0A,
18445088912536102552,000000D2,false,Rx,0,5,3C,38,00,00,04,00,00,00,
18445088912536102813,000005C0,false,Rx,0,8,01,00,00,A6,2D,00,08,82,
18445088912536103013,000000D0,false,Rx,0,6,E9,31,04,38,14,F0,00,00,
18445088912536103243,000000C2,false,Rx,0,8,44,80,00,00,80,D0,88,6B,
18445088912536103448,000003D0,false,Rx,0,6,00,00,08,00,C8,86,00,00,
18445088912536106112,000005D6,false,Rx,0,5,00,00,00,00,00,00,00,00,
18445088912536106437,0000059D,false,Rx,0,8,00,AA,ED,00,00,00,00,00,
18445088912536107007,00000440,false,Rx,0,8,20,52,50,FE,78,00,64,02,
18445088912536107249,00000540,false,Rx,0,8,C0,00,FF,00,FF,00,02,0F,
18445088912536107501,0000048C,false,Rx,0,8,03,04,07,00,00,00,00,00,
18445088912536110307,00000280,false,Rx,0,8,01,18,2C,0D,1A,00,1B,1A,
18445088912536110513,00000284,false,Rx,0,6,6D,59,04,30,00,00,00,00,
18445088912536110756,000000AE,false,Rx,0,8,3B,38,00,00,00,00,03,00,
18445088912536110925,00000050,false,Rx,0,4,00,B0,14,A4,00,00,00,00,
18445088912536111166,000001A0,false,Rx,0,8,00,40,5A,0A,FE,FE,00,13,
18445088912536111399,00000288,false,Rx,0,8,8A,BD,78,00,00,50,ED,0C,
18445088912536111636,000001AC,false,Rx,0,8,7D,19,10,00,69,21,FD,C1,
18445088912536111878,00000380,false,Rx,0,8,00,94,00,BB,00,00,00,06,
18445088912536112122,000002A0,false,Rx,0,8,00,00,00,64,00,00,30,54,
18445088912536112354,0000044C,false,Rx,0,8,84,6C,43,94,58,02,05,60,
18445088912536112583,000003A0,false,Rx,0,8,8F,09,B8,28,91,25,A1,03,
18445088912536112825,000002B7,false,Rx,0,8,1E,0E,00,00,00,00,10,00,
18445088912536113023,000000D0,false,Rx,0,6,93,42,0A,38,13,F0,00,00,
18445088912536113259,000000C2,false,Rx,0,8,44,80,00,00,80,E0,E7,5B,
18445088912536113500,00000480,false,Rx,0,8,84,00,08,F3,7F,08,06,0E,
18445088912536113732,00000488,false,Rx,0,8,40,1A,18,80,9E,FF,82,21,
18445088912536113970,0000048A,false,Rx,0,8,B1,22,01,02,00,00,00,90,
18445088912536114202,000004A0,false,Rx,0,8,6A,0A,4C,0A,64,0A,3A,0A,
18445088912536114434,00000368,false,Rx,0,8,46,14,89,83,05,07,5A,00,
18445088912536114678,000004A8,false,Rx,0,8,00,00,03,80,00,20,90,33,
18445088912536114910,00000320,false,Rx,0,8,20,40,12,57,0A,47,0A,81,
18445088912536115144,00000588,false,Rx,0,8,E1,78,80,00,14,80,04,95,
18445088912536115381,000005A0,false,Rx,0,8,7E,0A,07,90,00,7F,1B,AB,
18445088912536117077,00000440,false,Rx,0,8,20,52,50,FE,78,00,6C,02,
18445088912536117325,0000048C,false,Rx,0,8,02,05,07,00,00,00,00,00,
18445088912536117567,00000540,false,Rx,0,8,D0,00,FF,00,FF,00,02,0F,
18445088912536118779,000003D4,false,Rx,0,8,46,84,42,80,08,00,00,00,
18445088912536120373,00000280,false,Rx,0,8,01,18,2C,0D,1A,00,1B,1A,
18445088912536120620,00000380,false,Rx,0,8,00,94,00,BB,00,00,00,06,
18445088912536120857,000000AE,false,Rx,0,8,4B,48,00,00,00,00,03,00,
18445088912536121090,00000488,false,Rx,0,8,D5,1A,18,80,9E,FF,07,31,
18445088912536121328,000001A0,false,Rx,0,8,00,40,4C,0A,FE,FE,00,14,
18445088912536121580,000002A0,false,Rx,0,8,00,00,00,64,00,00,40,24,
18445088912536121825,000004A0,false,Rx,0,8,54,0A,44,0A,42,0A,40,0A,
18445088912536122195,000005C0,false,Rx,0,8,02,00,00,A6,2D,00,08,81,
18445088912536122838,000000D2,false,Rx,0,5,3D,39,00,00,04,00,00,00,
18445088912536123071,000000C2,false,Rx,0,8,44,80,00,00,80,F0,C2,4B,
18445088912536123269,000000D0,false,Rx,0,6,84,53,0C,38,13,F0,00,00,
18445088912536123478,000003D0,false,Rx,0,6,00,00,08,00,C8,86,00,00,
18445088912536123697,000003D2,false,Rx,0,7,BF,0D,33,80,01,00,00,00,
18445088912536124435,00000366,false,Rx,0,8,5A,0A,00,00,00,00,80,D0,
18445088912536124681,0000056A,false,Rx,0,8,8E,03,10,20,10,0D,00,A0,
18445088912536125804,00000390,false,Rx,0,8,03,00,50,00,40,00,00,08,
18445088912536126068,00000392,false,Rx,0,8,08,00,04,21,00,17,80,00,
18445088912536126334,00000393,false,Rx,0,8,92,00,00,00,00,00,00,00,
18445088912536126542,00000570,false,Rx,0,5,47,20,AC,00,00,00,00,00,
18445088912536126796,000005D0,false,Rx,0,8,C0,04,61,8F,39,59,C0,00,
18445088912536127060,00000440,false,Rx,0,8,20,52,50,FE,78,00,74,02,
