Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1060081,000002A0,FALSE,Rx,0,8,0,0,0,24,0,0,60,44
1060082,368,FALSE,Rx,0,8,81,1A,89,88,85,0B,14,0
1060083,380,FALSE,Rx,0,8,20,5E,0,0,80,0,0,0
1060084,488,FALSE,Rx,0,8,14,22,28,7E,A0,FF,FF,C0
1060085,440,FALSE,Rx,0,8,10,55,25,FE,7F,0,60,3
1060086,000004A0,FALSE,Rx,0,8,38,2D,32,2D,CA,2C,E0,2C
1060087,540,FALSE,Rx,0,8,C5,0,FF,0,FF,0,0,6F
1060088,000004A8,FALSE,Rx,0,8,0C,0,2,0,0,0,B0,BE
1060089,000000D0,FALSE,Rx,0,6,0E,F5,3,38,20,E0,0,0
1060090,000003D0,FALSE,Rx,0,6,0,80,8,0,C8,61,0,0
1060091,548,FALSE,Rx,0,3,51,0,0,0,0,0,0,0
1060092,000005A0,FALSE,Rx,0,8,7C,10,20,B0,0,99,1A,AB
1060093,000002C0,FALSE,Rx,0,8,0,80,0,0,53,C0,FE,83
1060094,448,FALSE,Rx,0,5,52,0,0,0,A0,0,0,0
1060095,000000C2,FALSE,Rx,0,8,72,0,0,0,80,80,64,0D
1060096,000001A0,FALSE,Rx,0,8,0,40,32,2D,0,FE,0,17
1060097,000000AE,FALSE,Rx,0,8,73,70,0,0,0,0,3,0
1060098,280,FALSE,Rx,0,8,0,27,C5,1C,22,19,1D,22
1060099,000002A0,FALSE,Rx,0,8,0,0,0,24,0,0,70,54
1060100,320,FALSE,Rx,0,8,24,30,26,35,2D,89,30,80
1060101,380,FALSE,Rx,0,8,20,5E,0,0,80,0,0,0
1060102,488,FALSE,Rx,0,8,0B,22,27,7E,A0,FF,FF,D0
1060103,000004A0,FALSE,Rx,0,8,34,2D,38,2D,C6,2C,C2,2C
1060104,440,FALSE,Rx,0,8,10,55,25,FE,7F,0,68,3
1060105,540,FALSE,Rx,0,8,D5,0,FF,0,FF,0,0,6F
1060106,548,FALSE,Rx,0,3,55,FF,0C,0,0,0,0,0
1060107,000000D0,FALSE,Rx,0,6,FD,6,3,38,20,E0,0,0
1060108,0000038A,FALSE,Rx,0,4,85,81,4,0,0,0,0,0
1060109,284,FALSE,Rx,0,6,7,7,0,0,0,0,0,0
1060110,480,FALSE,Rx,0,8,96,0,53,BF,1A,0,6,66
1060111,588,FALSE,Rx,0,8,E2,39,7E,86,0,1,0,57
1060112,000002C0,FALSE,Rx,0,8,0,80,0,0,53,C0,FE,93
1060113,000005C0,FALSE,Rx,0,8,0C,0,80,A6,6C,0,0,46
1060114,000003A0,FALSE,Rx,0,8,83,0C,E3,A1,56,87,13,0F
1060115,448,FALSE,Rx,0,5,52,0,20,11,A0,0,0,0
1060116,572,FALSE,Rx,0,1,7,0,0,0,0,0,0,0
1060117,000000D2,FALSE,Tx,128,5,5F,7A,A0,81,4,0,0,0
1060118,000000C2,FALSE,Rx,0,8,72,0,0,0,80,90,41,FD
1060119,50,FALSE,Rx,0,4,0,F0,40,B0,0,0,0,0
1060120,000001A0,FALSE,Rx,0,8,0,40,40,2D,0,FE,0,18
1060121,000000AE,FALSE,Rx,0,8,83,80,0,0,0,0,3,0
1060122,280,FALSE,Rx,0,8,0,27,BB,1C,21,19,1D,21
1060123,000001AC,FALSE,Rx,0,8,62,0C,0,0,74,21,FA,C1
1060124,288,FALSE,Rx,0,8,73,89,70,4,0,4B,D1,17
1060125,000002A0,FALSE,Rx,0,8,0,0,0,24,0,0,80,A4
1060126,368,FALSE,Rx,0,8,80,1B,89,88,85,0B,14,0
1060127,380,FALSE,Rx,0,8,20,5E,0,0,80,0,0,0
1060128,488,FALSE,Rx,0,8,38,21,27,7E,A0,FF,FF,E0
1060129,440,FALSE,Rx,0,8,10,55,25,FE,7F,0,70,3
1060130,000004A0,FALSE,Rx,0,8,42,2D,48,2D,C4,2C,B6,2C
1060131,540,FALSE,Rx,0,8,E5,0,FF,0,FF,0,0,6F
1060132,000004A8,FALSE,Rx,0,8,0C,0,0,0,0,0,C0,CC
1060133,000000D0,FALSE,Rx,0,6,ED,17,2,38,20,E0,0,0
