Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000083,390,FALSE,Rx,0,8,3,0,050,0,40,0,0,8
1000084,392,FALSE,Rx,0,8,8,0,7,21,0,11,050,0
1000085,570,FALSE,Rx,0,5,47,0,AD,0,0,0,0,0
1000086,5D0,FALSE,Rx,0,8,C0,4,61,0F,39,59,C0,0
1000087,540,FALSE,Rx,0,8,30,0,FF,0,FF,0,2,56
1000088,0D2,FALSE,Rx,0,5,37,33,0,0,4,0,0,0
1000089,3D4,FALSE,Rx,0,8,D0,85,55,0,8,0,0,0
1000090,0AE,FALSE,Rx,0,8,7B,78,0,0,0,0,3,0
1000091,1A0,FALSE,Rx,0,8,0,40,CA,1B,FE,FE,0,17
1000092,0C2,FALSE,Rx,0,8,66,0,86,2,80,70,13,A1
1000093,0D0,FALSE,Rx,0,6,57,D5,46,38,1C,E0,0,0
1000094,2A0,FALSE,Rx,0,8,0,0,0,64,0,0,70,14
1000095,280,FALSE,Rx,0,8,1,10,B4,16,0F,0,16,6
1000096,284,FALSE,Rx,0,6,14,52,6,40,0,0,0,0
1000097,288,FALSE,Rx,0,8,36,BA,78,0,0,050,B7,8
1000098,380,FALSE,Rx,0,8,0,85,0,51,0,0,0,5
1000099,3D0,FALSE,Rx,0,6,1,0,8,0,C8,80,0,0
1000100,480,FALSE,Rx,0,8,19,0,0E,94,56,8,6,DB
1000101,488,FALSE,Rx,0,8,5A,6,10,7E,93,FF,FF,A1
1000102,48A,FALSE,Rx,0,8,C7,E4,1,2,0,0,0,20
1000103,440,FALSE,Rx,0,8,30,53,32,FE,7F,0,24,2
1000104,4A0,FALSE,Rx,0,8,C2,1B,D2,1B,D2,1B,D0,1B
1000105,588,FALSE,Rx,0,8,E9,050,7E,87,0C,80,4,96
1000106,58C,FALSE,Rx,0,8,90,B0,2A,0,0,0,0,0
1000107,368,FALSE,Rx,0,8,CF,1A,89,4B,5,0,12,0
1000108,5C0,FALSE,Rx,0,8,8,0,0,A6,21,0,0,8F
1000109,722,FALSE,Rx,0,7,4,3,1,1,0,0,0,0
1000110,5DC,FALSE,Rx,0,8,77,14,72,7F,1D,0,80,4D
1000111,540,FALSE,Rx,0,8,40,0,FF,0,FF,0,2,0F
1000112,44C,FALSE,Rx,0,8,1D,B1,45,96,58,2,5,20
1000113,2B7,FALSE,Rx,0,8,12,2,0,0,0,0,10,0
1000114,320,FALSE,Rx,0,8,20,20,0E,D5,1B,CF,1B,91
1000115,0AE,FALSE,Rx,0,8,8B,88,0,0,0,0,3,0
1000116,0C2,FALSE,Rx,0,8,66,0,86,2,80,80,EF,91
1000117,0D0,FALSE,Rx,0,6,62,E6,42,38,1E,E0,0,0
1000118,1A0,FALSE,Rx,0,8,0,40,C6,1B,FE,FE,0,18
1000119,280,FALSE,Rx,0,8,1,10,B4,16,0F,0,16,6
1000120,1AC,FALSE,Rx,0,8,EF,1C,0,0,69,A1,FA,C1
1000121,380,FALSE,Rx,0,8,0,85,0,4E,0,0,0,5
1000122,2A0,FALSE,Rx,0,8,0,0,0,64,0,0,80,E4
1000123,050,FALSE,Rx,0,4,0,B9,0C,B5,0,0,0,0
1000124,3A0,FALSE,Rx,0,8,3A,0C,AC,16,4F,CA,0A,3
1000125,3D2,FALSE,Rx,0,7,A0,12,33,80,1,0,0,0
